"日期","1星","2星","3星","4星","5星"
"2021-11-24","5","1","2","2","10"
"2021-11-25","4","0","2","3","5"
"2021-11-26","19","12","-6","17","56"
"2021-11-27","23","0","4","7","38"
"2021-11-28","16","1","4","-1","18"
"2021-11-29","-1","1","2","1","6"
"2021-11-30","-3","-7","3","-13","-38"
"2021-12-01","8","8","0","12","50"
"2021-12-02","10","1","1","0","7"
"2021-12-03","4","0","-1","2","12"
"2021-12-04","19","1","5","3","42"
"2021-12-05","6","7","1","3","30"
"2021-12-06","6","1","1","2","5"
"2021-12-07","12","-1","1","0","6"
"2021-12-08","5","-1","1","1","14"
"2021-12-09","2","1","3","2","8"
"2021-12-10","4","3","4","2","9"
"2021-12-11","11","2","3","4","14"
"2021-12-12","6","-1","2","7","16"
"2021-12-13","-4","-3","1","0","13"
"2021-12-14","4","0","1","-1","1"
